session_id,cb_prec@3,cb_ndcg@3,cb_hit@3,l1_prec@3,l1_ndcg@3,l1_hit@3,l2_prec@3,l2_ndcg@3,l2_hit@3,cb_prec@5,cb_ndcg@5,cb_hit@5,l1_prec@5,l1_ndcg@5,l1_hit@5,l2_prec@5,l2_ndcg@5,l2_hit@5,cb_mor,l1_mor,l2_mor
S0001,1.0,0.8306434306665004,0,1.0,0.9050203568397402,0,1.0,0.9050203568397402,0,1.0,0.786426743043245,0,0.8,0.7933966230019784,1,0.8,0.7982148673826657,0,3.0,4.25,4.25
S0010,0.3333333333333333,0.30107834548177703,0,0.6666666666666666,0.734771127309036,0,1.0,0.9050203568397402,0,0.6,0.3996600237771174,0,0.8,0.7164066127978398,1,0.8,0.7982148673826657,1,2.0,4.25,4.25
S0022,0.3333333333333333,0.30107834548177703,0,1.0,0.8306434306665004,0,1.0,0.9247304136295558,0,0.6,0.3996600237771174,0,0.6,0.6540097882191036,0,1.0,0.8551429683842254,0,2.0,3.0,4.25
S0029,0.3333333333333333,0.19915951463957018,0,0.3333333333333333,0.19915951463957018,0,0.3333333333333333,0.5410642608019225,0,0.4,0.2707348381043215,0,0.4,0.2707348381043215,0,0.4,0.5379487170151577,0,2.0,2.0,3.33
S0034,0.3333333333333333,0.19915951463957018,0,0.3333333333333333,0.19915951463957018,0,0.3333333333333333,0.5410642608019225,0,0.4,0.2707348381043215,0,0.4,0.25902452365424994,1,0.4,0.5379487170151577,0,3.0,3.0,3.33
S0042,0.6666666666666666,0.42226370006708636,1,0.3333333333333333,0.22822141806337012,0,0.0,0.18012442749633906,0,0.4,0.33001800204489967,1,0.4,0.42951802224437907,0,0.4,0.44946944584546833,0,3.0,3.0,3.0
S0048,0.0,0.28549046304556414,1,0.3333333333333333,0.1709523730811761,0,0.3333333333333333,0.35107680057751517,0,0.2,0.3264960280792361,1,0.4,0.3735584022857162,0,0.6,0.4928374432375581,0,2.67,4.0,4.0
S0049,0.3333333333333333,0.19915951463957018,0,0.3333333333333333,0.19915951463957018,0,0.3333333333333333,0.5410642608019225,0,0.4,0.2707348381043215,0,0.4,0.25902452365424994,1,0.4,0.5262384025650861,0,4.0,4.0,3.33
S0061,0.0,0.3303010754742701,1,0.0,0.47531476685319407,0,0.0,0.5177394979846265,1,0.2,0.4568809174640459,1,0.0,0.45789242751067294,1,0.0,0.46249689362146884,1,2.0,2.67,2.67
S0075,1.0,1.0,0,1.0,1.0,0,0.6666666666666666,0.7454516132114052,0,0.8,0.974305219255219,0,0.8,0.974305219255219,0,0.6,0.7837813106399116,0,4.0,4.0,2.5
S0080,0.0,0.3303010754742701,0,0.0,0.2636531903189064,0,0.0,0.17880372805604142,0,0.2,0.4568809174640459,1,0.2,0.30916648497868393,1,0.2,0.3057791037354491,1,2.0,2.0,2.0
S0084,0.3333333333333333,0.3485026525817713,0,0.0,0.2636531903189064,0,0.0,0.17880372805604142,0,0.2,0.3814080806465519,0,0.2,0.30916648497868393,0,0.2,0.3057791037354491,0,2.0,2.0,2.0
S0086,0.3333333333333333,0.4692787260227565,0,0.3333333333333333,0.4692787260227565,0,0.3333333333333333,0.312852484015171,0,0.6,0.5855020811139152,0,0.6,0.5855020811139152,0,0.4,0.36530008536399383,0,4.0,4.0,3.0
S0088,0.6666666666666666,0.6081923397272649,0,0.6666666666666666,0.7039180890341348,0,0.6666666666666666,0.48492135022351507,0,0.6,0.5856251150427068,0,0.6,0.6061192078055617,0,0.6,0.481670622961745,0,3.5,4.0,3.0
S0089,0.6666666666666666,0.6081923397272649,0,0.3333333333333333,0.4692787260227565,0,0.3333333333333333,0.1973879406439102,0,0.6,0.5987175794459071,0,0.6,0.5855020811139152,1,0.4,0.27998516658265743,0,3.5,4.0,4.0
S0090,0.6666666666666666,0.6081923397272649,0,0.3333333333333333,0.4692787260227565,0,0.3333333333333333,0.312852484015171,0,0.6,0.5987175794459071,0,0.6,0.5855020811139152,0,0.4,0.36530008536399383,0,3.5,4.0,3.0
S0111,0.6666666666666666,0.8435737579924145,1,0.3333333333333333,0.4692787260227565,0,0.3333333333333333,0.312852484015171,0,0.4,0.6233032630439764,1,0.6,0.5855020811139152,0,0.4,0.36530008536399383,0,3.0,4.0,3.0
S0116,1.0,0.7893701853148068,0,0.6666666666666666,0.5476375181815023,0,0.6666666666666666,0.6066138662933563,0,0.8,0.7061306165206657,0,0.8,0.6599478220476525,0,0.6,0.574196008662447,0,3.0,3.0,3.5
S0125,0.6666666666666666,0.6625334714861817,0,0.6666666666666666,0.5476375181815023,1,0.6666666666666666,0.6066138662933563,0,0.8,0.7211055564550692,1,0.8,0.6599478220476525,1,0.6,0.574196008662447,0,3.67,3.0,3.5
S0133,0.6666666666666666,0.4620922214348614,0,0.6666666666666666,0.4342890858964159,0,0.3333333333333333,0.2657852341482614,0,0.6,0.44850605895787327,0,0.6,0.4496263977997273,1,0.4,0.32920787941288143,0,3.0,3.0,3.0
S0136,0.6666666666666666,0.6027929376445704,0,0.6666666666666666,0.45236248181849764,1,1.0,0.8523001419661972,1,0.6,0.5880815074588995,0,0.6,0.4510098927712892,1,0.8,0.7601848148964577,1,3.0,3.0,3.67
S0141,0.0,0.0,0,0.6666666666666666,0.4031611678124732,0,1.0,0.7472989002291613,1,0.4,0.22238860295713975,0,0.8,0.5155608888565543,0,1.0,0.7706675459539696,1,3.0,3.0,3.2
